datum,relation,trailer_geplant,trailer_benoetigt,trailer_linie_gefahren,sonderfahrten,trailer_ueberzaehlig,lademeter_aufkommen,lademeter_verschoben_auf_folgetag,auslastung_pct
2024-01-02,R01,4,4,4,0,0,46.9,0.0,86.2
2024-01-03,R01,2,2,2,0,0,20.3,0.0,74.6
2024-01-04,R01,4,5,4,1,0,55.5,0.0,81.6
2024-01-05,R01,2,3,2,1,0,34.9,0.0,85.5
2024-01-08,R01,4,4,4,0,0,43.0,0.0,79.0
2024-01-09,R01,4,6,4,1,0,62.9,0.3,92.5
2024-01-10,R01,2,4,2,0,0,40.2,15.5,100.0
2024-01-11,R01,5,6,5,0,0,49.3,2.3,95.3
2024-01-12,R01,2,3,2,1,0,30.2,0.0,79.5
2024-01-15,R01,5,3,5,0,2,35.6,0.0,52.4
2024-01-16,R01,6,6,6,0,0,63.3,0.0,77.6
2024-01-17,R01,3,3,3,0,0,26.2,0.0,64.2
2024-01-18,R01,6,4,6,0,2,44.1,0.0,54.0
2024-01-19,R01,3,3,3,0,0,30.2,0.0,74.0
2024-01-22,R01,4,3,4,0,1,31.2,0.0,57.4
2024-01-23,R01,7,5,7,0,2,59.6,0.0,62.6
2024-01-24,R01,4,2,4,0,2,24.1,0.0,44.3
2024-01-25,R01,5,5,5,0,0,53.4,0.0,78.5
2024-01-26,R01,3,3,3,0,0,35.8,0.0,87.7
2024-01-29,R01,4,4,4,0,0,43.2,0.0,79.4
2024-01-30,R01,5,5,5,0,0,58.7,0.0,86.3
2024-01-31,R01,2,4,2,1,0,41.0,3.5,100.0
2024-02-01,R01,4,7,4,0,0,73.7,27.1,100.0
2024-02-02,R01,2,5,2,2,0,25.6,2.7,96.9
2024-02-05,R01,4,4,4,0,0,36.7,0.0,67.5
2024-02-06,R01,5,5,5,0,0,60.4,0.0,88.8
2024-02-07,R01,3,4,3,1,0,43.2,0.0,79.4
2024-02-08,R01,6,5,6,0,1,50.8,0.0,62.3
2024-02-09,R01,4,3,4,0,1,30.0,0.0,55.1
2024-02-12,R01,5,3,5,0,2,36.4,0.0,53.5
2024-02-13,R01,5,5,5,0,0,58.4,0.0,85.9
2024-02-14,R01,4,4,4,0,0,38.6,0.0,71.0
2024-02-15,R01,6,6,6,0,0,69.3,0.0,84.9
2024-02-16,R01,3,3,3,0,0,33.1,0.0,81.1
2024-02-19,R01,4,3,4,0,1,35.0,0.0,64.3
2024-02-20,R01,5,5,5,0,0,54.5,0.0,80.1
2024-02-21,R01,5,3,5,0,2,34.5,0.0,50.7
2024-02-22,R01,6,6,6,0,0,63.7,0.0,78.1
2024-02-23,R01,3,2,3,0,1,22.1,0.0,54.2
2024-02-26,R01,4,4,4,0,0,41.2,0.0,75.7
2024-02-27,R01,5,4,5,0,1,44.7,0.0,65.7
2024-02-28,R01,3,3,3,0,0,29.5,0.0,72.3
2024-02-29,R01,7,5,7,0,2,61.3,0.0,64.4
2024-03-01,R01,2,3,2,0,0,28.9,3.9,100.0
2024-03-04,R01,4,4,4,0,0,38.8,0.0,71.3
2024-03-05,R01,4,5,4,0,0,61.1,11.1,100.0
2024-03-06,R01,3,4,3,1,0,35.5,0.0,85.6
2024-03-07,R01,5,6,5,1,0,74.3,0.0,91.1
2024-03-08,R01,2,3,2,0,0,29.6,4.6,100.0
2024-03-11,R01,5,4,5,0,1,38.0,0.0,55.9
2024-03-12,R01,4,5,4,1,0,57.1,0.0,84.0
2024-03-13,R01,4,3,4,0,1,26.7,0.0,49.1
2024-03-14,R01,5,6,5,1,0,68.8,0.0,84.3
2024-03-15,R01,3,2,3,0,1,18.7,0.0,45.8
2024-03-18,R01,5,4,5,0,1,47.6,0.0,70.0
2024-03-19,R01,5,4,5,0,1,44.7,0.0,65.7
2024-03-20,R01,4,5,4,0,0,51.6,1.6,94.9
2024-03-21,R01,6,4,6,0,2,47.1,0.0,59.6
2024-03-22,R01,2,3,2,1,0,36.3,0.0,89.0
2024-03-25,R01,5,3,5,0,2,32.7,0.0,48.1
2024-03-26,R01,5,6,5,0,0,72.9,10.3,100.0
2024-03-27,R01,4,5,4,0,0,41.5,1.8,95.3
2024-03-28,R01,5,7,5,0,0,83.2,22.4,100.0
2024-04-02,R01,7,7,7,0,0,57.6,0.0,60.5
2024-04-03,R01,6,3,6,0,3,35.6,0.0,43.6
2024-04-04,R01,8,6,8,0,2,67.7,0.0,62.2
2024-04-05,R01,3,3,3,0,0,36.9,0.0,90.4
2024-04-08,R01,3,4,3,0,0,40.0,2.5,98.0
2024-04-09,R01,7,7,7,0,0,82.1,0.0,88.8
2024-04-10,R01,4,3,4,0,1,34.3,0.0,63.1
2024-04-11,R01,7,5,7,0,2,58.6,0.0,61.6
2024-04-12,R01,4,3,4,0,1,31.3,0.0,57.5
2024-04-15,R01,4,4,4,0,0,42.3,0.0,77.8
2024-04-16,R01,8,6,8,0,2,66.2,0.0,60.8
2024-04-17,R01,3,3,3,0,0,30.5,0.0,74.8
2024-04-18,R01,5,5,5,0,0,60.0,0.0,88.2
2024-04-19,R01,3,3,3,0,0,29.4,0.0,72.1
2024-04-22,R01,4,5,4,0,0,53.9,3.9,99.1
2024-04-23,R01,6,6,6,0,0,61.9,0.0,80.6
