datum,wochentag,kw,werktag,feiertag_bw,brueckentag,schulferien_bw,werksferien_automotive,vor_feiertag,handelstermin
2024-01-01,Mo,1,0,Neujahr,0,Weihnachtsferien,0,0,
2024-01-02,Di,1,1,,0,Weihnachtsferien,0,0,
2024-01-03,Mi,1,1,,0,Weihnachtsferien,0,0,
2024-01-04,Do,1,1,,0,Weihnachtsferien,0,0,
2024-01-05,Fr,1,1,,0,Weihnachtsferien,0,1,
2024-01-06,Sa,1,0,Heilige Drei Könige,0,,0,0,
2024-01-07,So,1,0,,0,,0,0,
2024-01-08,Mo,2,1,,0,,0,0,
2024-01-09,Di,2,1,,0,,0,0,
2024-01-10,Mi,2,1,,0,,0,0,
2024-01-11,Do,2,1,,0,,0,0,
2024-01-12,Fr,2,1,,0,,0,0,
2024-01-13,Sa,2,0,,0,,0,0,
2024-01-14,So,2,0,,0,,0,0,
2024-01-15,Mo,3,1,,0,,0,0,
2024-01-16,Di,3,1,,0,,0,0,
2024-01-17,Mi,3,1,,0,,0,0,
2024-01-18,Do,3,1,,0,,0,0,
2024-01-19,Fr,3,1,,0,,0,0,
2024-01-20,Sa,3,0,,0,,0,0,
2024-01-21,So,3,0,,0,,0,0,
2024-01-22,Mo,4,1,,0,,0,0,
2024-01-23,Di,4,1,,0,,0,0,
2024-01-24,Mi,4,1,,0,,0,0,
2024-01-25,Do,4,1,,0,,0,0,
2024-01-26,Fr,4,1,,0,,0,0,
2024-01-27,Sa,4,0,,0,,0,0,
2024-01-28,So,4,0,,0,,0,0,
2024-01-29,Mo,5,1,,0,,0,0,
2024-01-30,Di,5,1,,0,,0,0,
2024-01-31,Mi,5,1,,0,,0,0,
2024-02-01,Do,5,1,,0,,0,0,
2024-02-02,Fr,5,1,,0,,0,0,
2024-02-03,Sa,5,0,,0,,0,0,
2024-02-04,So,5,0,,0,,0,0,
2024-02-05,Mo,6,1,,0,,0,0,
2024-02-06,Di,6,1,,0,,0,0,
2024-02-07,Mi,6,1,,0,,0,0,
2024-02-08,Do,6,1,,0,,0,0,
2024-02-09,Fr,6,1,,0,,0,0,
2024-02-10,Sa,6,0,,0,,0,0,
2024-02-11,So,6,0,,0,,0,0,
2024-02-12,Mo,7,1,,0,,0,0,
2024-02-13,Di,7,1,,0,,0,0,
2024-02-14,Mi,7,1,,0,,0,0,
2024-02-15,Do,7,1,,0,,0,0,
2024-02-16,Fr,7,1,,0,,0,0,
2024-02-17,Sa,7,0,,0,,0,0,
2024-02-18,So,7,0,,0,,0,0,
2024-02-19,Mo,8,1,,0,,0,0,
2024-02-20,Di,8,1,,0,,0,0,
2024-02-21,Mi,8,1,,0,,0,0,
2024-02-22,Do,8,1,,0,,0,0,
2024-02-23,Fr,8,1,,0,,0,0,
2024-02-24,Sa,8,0,,0,,0,0,
2024-02-25,So,8,0,,0,,0,0,
2024-02-26,Mo,9,1,,0,,0,0,
2024-02-27,Di,9,1,,0,,0,0,
2024-02-28,Mi,9,1,,0,,0,0,
2024-02-29,Do,9,1,,0,,0,0,
2024-03-01,Fr,9,1,,0,,0,0,
2024-03-02,Sa,9,0,,0,,0,0,
2024-03-03,So,9,0,,0,,0,0,
2024-03-04,Mo,10,1,,0,,0,0,
2024-03-05,Di,10,1,,0,,0,0,
2024-03-06,Mi,10,1,,0,,0,0,
2024-03-07,Do,10,1,,0,,0,0,
2024-03-08,Fr,10,1,,0,,0,0,
2024-03-09,Sa,10,0,,0,,0,0,
2024-03-10,So,10,0,,0,,0,0,
2024-03-11,Mo,11,1,,0,,0,0,
2024-03-12,Di,11,1,,0,,0,0,
2024-03-13,Mi,11,1,,0,,0,0,
2024-03-14,Do,11,1,,0,,0,0,
2024-03-15,Fr,11,1,,0,,0,0,
2024-03-16,Sa,11,0,,0,,0,0,
2024-03-17,So,11,0,,0,,0,0,
2024-03-18,Mo,12,1,,0,,0,0,
2024-03-19,Di,12,1,,0,,0,0,
2024-03-20,Mi,12,1,,0,,0,0,
2024-03-21,Do,12,1,,0,,0,0,
2024-03-22,Fr,12,1,,0,,0,0,
2024-03-23,Sa,12,0,,0,Osterferien,0,0,
2024-03-24,So,12,0,,0,Osterferien,0,0,
2024-03-25,Mo,13,1,,0,Osterferien,0,0,
2024-03-26,Di,13,1,,0,Osterferien,0,0,
2024-03-27,Mi,13,1,,0,Osterferien,0,0,
2024-03-28,Do,13,1,,0,Osterferien,0,1,
2024-03-29,Fr,13,0,Karfreitag,0,Osterferien,0,0,
2024-03-30,Sa,13,0,,0,Osterferien,0,0,
2024-03-31,So,13,0,,0,Osterferien,0,0,
2024-04-01,Mo,14,0,Ostermontag,0,Osterferien,0,0,
2024-04-02,Di,14,1,,0,Osterferien,0,0,
2024-04-03,Mi,14,1,,0,Osterferien,0,0,
2024-04-04,Do,14,1,,0,Osterferien,0,0,
2024-04-05,Fr,14,1,,0,Osterferien,0,0,
2024-04-06,Sa,14,0,,0,,0,0,
2024-04-07,So,14,0,,0,,0,0,
2024-04-08,Mo,15,1,,0,,0,0,
2024-04-09,Di,15,1,,0,,0,0,
2024-04-10,Mi,15,1,,0,,0,0,
2024-04-11,Do,15,1,,0,,0,0,
2024-04-12,Fr,15,1,,0,,0,0,
2024-04-13,Sa,15,0,,0,,0,0,
2024-04-14,So,15,0,,0,,0,0,
2024-04-15,Mo,16,1,,0,,0,0,
2024-04-16,Di,16,1,,0,,0,0,
2024-04-17,Mi,16,1,,0,,0,0,
2024-04-18,Do,16,1,,0,,0,0,
2024-04-19,Fr,16,1,,0,,0,0,
2024-04-20,Sa,16,0,,0,,0,0,
2024-04-21,So,16,0,,0,,0,0,
2024-04-22,Mo,17,1,,0,,0,0,
2024-04-23,Di,17,1,,0,,0,0,
2024-04-24,Mi,17,1,,0,,0,0,
2024-04-25,Do,17,1,,0,,0,0,
2024-04-26,Fr,17,1,,0,,0,0,
2024-04-27,Sa,17,0,,0,,0,0,
2024-04-28,So,17,0,,0,,0,0,
2024-04-29,Mo,18,1,,0,,0,0,
2024-04-30,Di,18,1,,0,,0,1,
2024-05-01,Mi,18,0,Tag der Arbeit,0,,0,0,
2024-05-02,Do,18,1,,0,,0,0,
2024-05-03,Fr,18,1,,0,,0,0,
2024-05-04,Sa,18,0,,0,,0,0,
2024-05-05,So,18,0,,0,,0,0,
2024-05-06,Mo,19,1,,0,,0,0,
2024-05-07,Di,19,1,,0,,0,0,
2024-05-08,Mi,19,1,,0,,0,1,
2024-05-09,Do,19,0,Christi Himmelfahrt,0,,0,0,
2024-05-10,Fr,19,1,,1,,0,0,
2024-05-11,Sa,19,0,,0,,0,0,
2024-05-12,So,19,0,,0,,0,0,
2024-05-13,Mo,20,1,,0,,0,0,
2024-05-14,Di,20,1,,0,,0,0,
2024-05-15,Mi,20,1,,0,,0,0,
2024-05-16,Do,20,1,,0,,0,0,
2024-05-17,Fr,20,1,,0,,0,1,
2024-05-18,Sa,20,0,,0,,0,0,
