meldung_datum,kunde_id,typ,gilt_von,gilt_bis,angekuendigte_veraenderung_pct,quelle,kommentar
2024-01-05,K0007,Aktion,2024-02-01,2024-02-07,50,Telefonat Disposition,Verkaufsaktion / Kampagne angekündigt
2024-01-08,K0029,Aktion,2024-02-01,2024-02-11,60,Besuchsbericht,Verkaufsaktion / Kampagne angekündigt
2024-03-08,K0009,Aktion,2024-03-24,2024-04-07,60,Besuchsbericht,Verkaufsaktion / Kampagne angekündigt
2024-03-21,K0009,Aktion,2024-04-03,2024-04-16,50,Besuchsbericht,Verkaufsaktion / Kampagne angekündigt
2024-05-03,K0004,Aktion,2024-05-28,2024-06-03,40,CRM,Verkaufsaktion / Kampagne angekündigt
2024-05-16,K0009,Aktion,2024-05-30,2024-06-04,50,CRM,Verkaufsaktion / Kampagne angekündigt
2024-05-16,K0004,Aktion,2024-06-08,2024-06-16,60,CRM,Verkaufsaktion / Kampagne angekündigt
2024-05-30,K0029,Aktion,2024-06-23,2024-07-04,20,CRM,Verkaufsaktion / Kampagne angekündigt
2024-06-03,K0007,Aktion,2024-06-13,2024-06-23,30,CRM,Verkaufsaktion / Kampagne angekündigt
2024-06-22,K0025,Aktion,2024-07-21,2024-07-27,20,Besuchsbericht,Verkaufsaktion / Kampagne angekündigt
2024-06-24,K0003,Werksferien,2024-08-01,2024-08-15,-95,CRM,Betriebsruhe angekündigt
2024-07-03,K0012,Werksferien,2024-07-29,2024-08-17,-95,CRM,Betriebsruhe angekündigt
2024-07-03,K0024,Werksferien,2024-07-29,2024-08-15,-95,CRM,Betriebsruhe angekündigt
2024-07-04,K0026,Sortimentswechsel,2024-08-23,,-21,Besuchsbericht,Sortiments-/Lieferstrukturänderung angekündigt
2024-07-08,K0820,Werksferien,2024-08-01,2024-08-16,-95,CRM,Betriebsruhe angekündigt
2024-07-10,K0001,Werksferien,2024-07-31,2024-08-17,-95,CRM,Betriebsruhe angekündigt
2024-07-13,K0006,Werksferien,2024-07-29,2024-08-13,-95,CRM,Betriebsruhe angekündigt
2024-07-16,K0010,Aktion,2024-08-12,2024-08-18,50,Telefonat Disposition,Verkaufsaktion / Kampagne angekündigt
2024-11-07,K0012,Werksferien,2024-12-20,2025-01-07,-95,CRM,Betriebsruhe angekündigt
2024-11-18,K0017,Werksferien,2024-12-21,2025-01-09,-95,CRM,Betriebsruhe angekündigt
2024-11-23,K0820,Werksferien,2024-12-22,2025-01-05,-95,CRM,Betriebsruhe angekündigt
2024-11-26,K0027,Werksferien,2024-12-20,2025-01-06,-95,CRM,Betriebsruhe angekündigt
2024-12-05,K0001,Werksferien,2024-12-26,2025-01-05,-95,CRM,Betriebsruhe angekündigt
2024-12-07,K0006,Werksferien,2024-12-23,2025-01-07,-95,CRM,Betriebsruhe angekündigt
2025-02-20,K0025,Aktion,2025-03-10,2025-03-21,60,Telefonat Disposition,Verkaufsaktion / Kampagne angekündigt
2025-02-21,K0007,Aktion,2025-03-19,2025-03-29,20,CRM,Verkaufsaktion / Kampagne angekündigt
2025-02-26,K0009,Aktion,2025-03-09,2025-03-23,50,CRM,Verkaufsaktion / Kampagne angekündigt
2025-02-27,K0009,Aktion,2025-03-19,2025-03-24,20,Besuchsbericht,Verkaufsaktion / Kampagne angekündigt
2025-03-02,K0010,Aktion,2025-03-26,2025-04-01,50,Telefonat Disposition,Verkaufsaktion / Kampagne angekündigt
2025-04-02,K0025,Aktion,2025-04-17,2025-04-28,40,CRM,Verkaufsaktion / Kampagne angekündigt
2025-04-24,K0004,Aktion,2025-05-23,2025-05-28,60,CRM,Verkaufsaktion / Kampagne angekündigt
2025-06-06,K0009,Aktion,2025-06-13,2025-06-26,30,Telefonat Disposition,Verkaufsaktion / Kampagne angekündigt
2025-06-09,K0010,Aktion,2025-07-07,2025-07-15,20,CRM,Verkaufsaktion / Kampagne angekündigt
2025-06-26,K0025,Aktion,2025-07-03,2025-07-14,60,Besuchsbericht,Verkaufsaktion / Kampagne angekündigt
2025-06-28,K0029,Aktion,2025-07-17,2025-07-26,60,Besuchsbericht,Verkaufsaktion / Kampagne angekündigt
2025-07-01,K0006,Werksferien,2025-08-07,2025-08-23,-95,CRM,Betriebsruhe angekündigt
2025-07-02,K0003,Werksferien,2025-08-03,2025-08-23,-95,CRM,Betriebsruhe angekündigt
2025-07-06,K0027,Werksferien,2025-08-01,2025-08-24,-95,CRM,Betriebsruhe angekündigt
2025-07-12,K0001,Werksferien,2025-08-06,2025-08-24,-95,CRM,Betriebsruhe angekündigt
2025-07-17,K0017,Werksferien,2025-08-01,2025-08-20,-95,CRM,Betriebsruhe angekündigt
2025-07-19,K0012,Werksferien,2025-08-04,2025-08-21,-95,CRM,Betriebsruhe angekündigt
2025-07-21,K0820,Werksferien,2025-08-04,2025-08-23,-95,CRM,Betriebsruhe angekündigt
2025-07-30,K0009,Aktion,2025-08-08,2025-08-16,60,CRM,Verkaufsaktion / Kampagne angekündigt
2025-08-04,K0004,Aktion,2025-08-19,2025-09-01,30,Besuchsbericht,Verkaufsaktion / Kampagne angekündigt
2025-08-13,K0029,Aktion,2025-09-05,2025-09-12,20,Telefonat Disposition,Verkaufsaktion / Kampagne angekündigt
2025-09-14,K0025,Aktion,2025-10-02,2025-10-14,30,Telefonat Disposition,Verkaufsaktion / Kampagne angekündigt
2025-11-19,K0001,Werksferien,2025-12-22,2026-01-07,-95,CRM,Betriebsruhe angekündigt
2025-11-19,K0012,Werksferien,2025-12-19,2026-01-05,-95,CRM,Betriebsruhe angekündigt
2025-11-25,K0006,Werksferien,2025-12-19,2026-01-09,-95,CRM,Betriebsruhe angekündigt
2025-11-26,K0017,Werksferien,2025-12-19,2026-01-06,-95,CRM,Betriebsruhe angekündigt
2025-11-27,K0820,Werksferien,2025-12-24,2026-01-03,-95,CRM,Betriebsruhe angekündigt
2025-12-01,K0003,Werksferien,2025-12-21,2026-01-03,-95,CRM,Betriebsruhe angekündigt
2025-12-31,K0011,Sortimentswechsel,2026-02-25,,-21,Besuchsbericht,Sortiments-/Lieferstrukturänderung angekündigt
2026-01-05,K0007,Aktion,2026-01-26,2026-02-03,50,Telefonat Disposition,Verkaufsaktion / Kampagne angekündigt
2026-01-06,K0009,Aktion,2026-01-31,2026-02-06,30,Besuchsbericht,Verkaufsaktion / Kampagne angekündigt
2026-02-04,K0009,Aktion,2026-02-25,2026-03-08,20,CRM,Verkaufsaktion / Kampagne angekündigt
2026-03-16,K0007,Aktion,2026-04-13,2026-04-26,60,Telefonat Disposition,Verkaufsaktion / Kampagne angekündigt
2026-03-24,K0004,Aktion,2026-04-21,2026-04-30,40,CRM,Verkaufsaktion / Kampagne angekündigt
2026-04-10,K0010,Aktion,2026-04-18,2026-04-23,60,CRM,Verkaufsaktion / Kampagne angekündigt
2026-05-04,K0002,Strukturänderung,2026-06-01,,0,Besuchsbericht,Neues Zentrallager Hannover: Verlagerung von ca. 30 % der Sendungen auf Relation Hannover
2026-06-10,K0002,Aktion,2026-06-21,2026-06-26,60,Telefonat Disposition,Verkaufsaktion / Kampagne angekündigt
2026-06-14,K0029,Aktion,2026-07-12,2026-07-21,40,Besuchsbericht,Verkaufsaktion / Kampagne angekündigt
2026-06-18,K0025,Aktion,2026-07-08,2026-07-20,60,Telefonat Disposition,Verkaufsaktion / Kampagne angekündigt
2026-06-28,K0009,Aktion,2026-07-20,2026-08-02,20,Besuchsbericht,Verkaufsaktion / Kampagne angekündigt
2026-07-03,K0001,Werksferien,2026-08-04,2026-08-19,-95,CRM,Betriebsruhe angekündigt
2026-07-12,K0820,Werksferien,2026-08-01,2026-08-24,-95,CRM,Betriebsruhe angekündigt
2026-07-13,K0024,Werksferien,2026-08-02,2026-08-20,-95,CRM,Betriebsruhe angekündigt
2026-07-18,K0017,Werksferien,2026-08-05,2026-08-23,-95,CRM,Betriebsruhe angekündigt
2026-07-19,K0012,Werksferien,2026-08-04,2026-08-23,-95,CRM,Betriebsruhe angekündigt
2026-07-29,K0029,Aktion,2026-08-21,2026-08-31,20,Besuchsbericht,Verkaufsaktion / Kampagne angekündigt
2026-08-27,K0007,Aktion,2026-09-19,2026-09-27,50,CRM,Verkaufsaktion / Kampagne angekündigt
2026-09-22,K0004,Aktion,2026-10-05,2026-10-16,40,Telefonat Disposition,"Herbstkampagne, Kunde erwartet ca. +40 %"
