kunde_id,segment,branche,groessenklasse,plz2,vertragsbeginn,vertragsende,verlustgrund,top30
K0001,Top,C29 Automotive-Zulieferer,A (>250 MA),74,2022-02-15,,,1
K0002,Top,G46 Großhandel Konsumgüter,A (>250 MA),75,2022-03-10,,,1
K0003,Top,C28 Maschinenbau,A (>250 MA),71,2016-04-01,2025-06-30,Ausschreibung verloren (Preis),1
K0004,Top,G47 Einzelhandel / E-Commerce,A (>250 MA),71,2023-02-09,,,1
K0005,Top,F/G23 Baustoffhandel,A (>250 MA),73,2015-10-13,,,1
K0006,Top,C29 Automotive-Zulieferer,A (>250 MA),97,2017-02-28,,,1
K0007,Top,C31 Möbel / Einrichtung,A (>250 MA),74,2022-09-08,,,1
K0008,Top,C20 Chemie / Farben,A (>250 MA),71,2021-05-27,,,1
K0009,Top,G46 Großhandel Konsumgüter,A (>250 MA),71,2020-03-04,,,1
K0010,Top,G46 Großhandel Konsumgüter,A (>250 MA),71,2015-09-08,,,1
K0011,Top,C27 Elektro / Elektronik,A (>250 MA),73,2015-07-03,,,1
K0012,Top,C29 Automotive-Zulieferer,A (>250 MA),74,2015-08-16,,,1
K0013,Top,Sonstige,A (>250 MA),73,2021-08-03,,,1
K0014,Top,C20 Chemie / Farben,A (>250 MA),71,2023-02-21,,,1
K0015,Top,C20 Chemie / Farben,A (>250 MA),74,2019-07-14,,,1
K0016,Mittel,F/G23 Baustoffhandel,B (50-250 MA),74,2025-10-01,,,1
K0017,Mittel,C29 Automotive-Zulieferer,B (50-250 MA),73,2015-07-22,,,1
K0018,Mittel,C27 Elektro / Elektronik,B (50-250 MA),71,2021-11-04,,,1
K0019,Mittel,F/G23 Baustoffhandel,B (50-250 MA),75,2015-03-22,,,1
K0020,Mittel,F/G23 Baustoffhandel,B (50-250 MA),74,2021-08-23,,,1
K0021,Mittel,C20 Chemie / Farben,B (50-250 MA),75,2021-06-01,,,1
K0022,Mittel,C27 Elektro / Elektronik,B (50-250 MA),75,2018-08-11,,,1
K0023,Mittel,Sonstige,B (50-250 MA),73,2016-01-22,,,1
K0024,Mittel,C25 Metallverarbeitung,B (50-250 MA),73,2015-12-30,2025-08-10,Preis / Wettbewerb,1
K0025,Mittel,C31 Möbel / Einrichtung,B (50-250 MA),69,2017-07-15,2026-06-17,Preis / Wettbewerb,1
K0026,Mittel,F/G23 Baustoffhandel,B (50-250 MA),74,2023-07-24,,,1
K0027,Mittel,C28 Maschinenbau,B (50-250 MA),71,2023-10-29,,,1
K0028,Mittel,F/G23 Baustoffhandel,B (50-250 MA),71,2019-11-22,,,1
K0029,Mittel,G47 Einzelhandel / E-Commerce,B (50-250 MA),74,2020-11-24,,,1
K0030,Mittel,C27 Elektro / Elektronik,B (50-250 MA),74,2016-11-13,,,1
K0031,Klein,C25 Metallverarbeitung,D (<10 MA),71,2021-03-05,,,0
K0032,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),74,2015-05-13,,,0
K0033,Klein,G46 Großhandel Konsumgüter,D (<10 MA),97,2017-07-26,,,0
K0034,Klein,C29 Automotive-Zulieferer,C (10-49 MA),71,2015-06-09,,,0
K0035,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),73,2016-03-07,2024-04-16,Preis / Wettbewerb,0
K0036,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2025-04-26,,,0
K0037,Klein,C29 Automotive-Zulieferer,D (<10 MA),71,2026-02-20,,,0
K0038,Klein,C29 Automotive-Zulieferer,D (<10 MA),73,2026-04-22,,,0
K0039,Klein,Sonstige,C (10-49 MA),71,2023-05-04,2025-08-16,Preis / Wettbewerb,0
K0040,Klein,C28 Maschinenbau,C (10-49 MA),74,2018-05-19,,,0
K0041,Klein,G46 Großhandel Konsumgüter,C (10-49 MA),75,2025-07-21,,,0
K0042,Klein,C28 Maschinenbau,C (10-49 MA),74,2024-03-02,,,0
K0043,Klein,C28 Maschinenbau,C (10-49 MA),71,2017-05-19,,,0
K0044,Klein,C20 Chemie / Farben,C (10-49 MA),74,2020-05-27,,,0
K0045,Klein,C25 Metallverarbeitung,C (10-49 MA),74,2023-06-09,,,0
K0046,Klein,C31 Möbel / Einrichtung,C (10-49 MA),97,2016-05-24,,,0
K0047,Klein,C28 Maschinenbau,C (10-49 MA),71,2017-05-05,,,0
K0048,Klein,C29 Automotive-Zulieferer,D (<10 MA),71,2025-01-28,,,0
K0049,Klein,C29 Automotive-Zulieferer,D (<10 MA),74,2021-06-26,,,0
K0050,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2022-02-12,,,0
K0051,Klein,Sonstige,C (10-49 MA),74,2021-04-26,,,0
K0052,Klein,C20 Chemie / Farben,C (10-49 MA),73,2019-11-14,,,0
K0053,Klein,C25 Metallverarbeitung,C (10-49 MA),97,2015-11-29,,,0
K0054,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2015-11-30,2026-05-29,Volumen eingestellt,0
K0055,Klein,G47 Einzelhandel / E-Commerce,D (<10 MA),74,2025-02-05,,,0
K0056,Klein,Sonstige,D (<10 MA),75,2016-09-02,,,0
K0057,Klein,C29 Automotive-Zulieferer,C (10-49 MA),74,2023-10-04,2025-06-18,Preis / Wettbewerb,0
K0058,Klein,C29 Automotive-Zulieferer,C (10-49 MA),69,2017-03-28,,,0
K0059,Klein,C29 Automotive-Zulieferer,C (10-49 MA),71,2021-10-16,,,0
K0060,Klein,C29 Automotive-Zulieferer,C (10-49 MA),71,2017-07-16,,,0
