relation,ziel_niederlassung,km,kosten_linientrailer_eur,kosten_sonderfahrt_eur,kapazitaet_ldm,ziel_ldm_auslastung
R01,Hamburg,600,1040,1740,13.6,0.92
R02,Bremen,560,990,1660,13.6,0.92
R03,Berlin,620,1070,1780,13.6,0.92
R04,Hannover,470,860,1470,13.6,0.92
R05,Dortmund,330,680,1200,13.6,0.92
R06,Köln,300,640,1140,13.6,0.92
R07,Düsseldorf,320,660,1170,13.6,0.92
R08,Frankfurt,150,430,820,13.6,0.92
R09,Kassel,260,580,1050,13.6,0.92
R10,Nürnberg,180,470,880,13.6,0.92
R11,München,260,580,1050,13.6,0.92
R12,Augsburg,210,510,940,13.6,0.92
R13,Regensburg,270,590,1060,13.6,0.92
R14,Ulm,120,390,760,13.6,0.92
R15,Freiburg,230,540,990,13.6,0.92
R16,Karlsruhe,90,350,700,13.6,0.92
R17,Mannheim,90,350,700,13.6,0.92
R18,Saarbrücken,220,530,980,13.6,0.92
R19,Koblenz,230,540,990,13.6,0.92
R20,Leipzig,420,800,1380,13.6,0.92
R21,Dresden,470,860,1470,13.6,0.92
R22,Erfurt,320,660,1170,13.6,0.92
R23,Magdeburg,480,880,1500,13.6,0.92
R24,Rostock,720,1200,1980,13.6,0.92
R25,Kiel,690,1160,1920,13.6,0.92
R26,Münster,400,770,1340,13.6,0.92
R27,Bielefeld,400,770,1340,13.6,0.92
R28,Osnabrück,440,820,1410,13.6,0.92
R29,Würzburg,110,380,750,13.6,0.92
R30,Chemnitz,400,770,1340,13.6,0.92
