datum,kunde_id,ereignis,detail,kommentar
2024-01-01,ALLE,Preisrunde,+4.2 % Tariferhöhung Stückgut national,
2024-02-29,K0649,Neukunde Start,Empfehlung,
2024-03-02,K0042,Neukunde Start,Ausschreibung gewonnen,
2024-03-04,K0224,Neukunde Start,Anfrage Platform,
2024-03-05,K0770,Neukunde Start,Kaltakquise,
2024-03-06,K0409,Kunde verloren,Insolvenz,
2024-03-09,K0767,Neukunde Start,Empfehlung,
2024-03-13,K0797,Neukunde Start,Kaltakquise,
2024-03-18,K0110,Neukunde Start,Anfrage Platform,
2024-03-31,K0701,Neukunde Start,Kaltakquise,
2024-04-05,K0690,Kunde verloren,Insolvenz,
2024-04-16,K0035,Kunde verloren,Preis / Wettbewerb,
2024-04-22,K0562,Neukunde Start,Empfehlung,
2024-04-23,K0344,Neukunde Start,Kaltakquise,
2024-04-24,K0520,Neukunde Start,Anfrage Platform,
2024-04-24,K0544,Neukunde Start,Empfehlung,
2024-04-24,K0771,Neukunde Start,Kaltakquise,
2024-05-09,K0216,Neukunde Start,Empfehlung,
2024-05-27,K0625,Neukunde Start,Kaltakquise,
2024-05-28,K0066,Neukunde Start,Kaltakquise,
2024-06-05,K0788,Neukunde Start,Anfrage Platform,
2024-06-13,K0568,Kunde verloren,Preis / Wettbewerb,
2024-06-13,K0212,Neukunde Start,Ausschreibung gewonnen,
2024-07-02,K0244,Neukunde Start,Kaltakquise,
2024-07-22,K0069,Kunde verloren,Preis / Wettbewerb,
2024-07-24,K0451,Neukunde Start,Anfrage Platform,
2024-07-24,K0539,Kunde verloren,Volumen eingestellt,
2024-08-01,K0508,Neukunde Start,Anfrage Platform,
2024-08-07,K0301,Kunde verloren,Volumen eingestellt,
2024-08-08,K0676,Neukunde Start,Empfehlung,
2024-08-18,K0572,Neukunde Start,Kaltakquise,
2024-08-19,K0714,Neukunde Start,Empfehlung,
2024-08-19,K0286,Neukunde Start,Kaltakquise,
2024-08-25,K0541,Neukunde Start,Kaltakquise,
2024-09-01,K0486,Kunde verloren,Volumen eingestellt,
2024-09-04,K0685,Neukunde Start,Kaltakquise,
2024-09-08,K0746,Kunde verloren,Volumen eingestellt,
2024-09-30,K0072,Neukunde Start,Empfehlung,
2024-10-03,K0324,Neukunde Start,Kaltakquise,
2024-10-12,K0133,Kunde verloren,Preis / Wettbewerb,
2024-10-13,K0816,Neukunde Start,Kaltakquise,
2024-10-16,K0339,Neukunde Start,Kaltakquise,
2024-10-27,K0606,Neukunde Start,Empfehlung,
2024-10-30,K0744,Neukunde Start,Kaltakquise,
2024-11-03,K0543,Neukunde Start,Anfrage Platform,
2024-11-06,K0076,Neukunde Start,Kaltakquise,
2024-11-21,K0464,Neukunde Start,Kaltakquise,
2024-11-24,K0764,Kunde verloren,Standortverlagerung,
2024-11-30,K0327,Neukunde Start,Kaltakquise,
2024-12-16,K0123,Kunde verloren,Preis / Wettbewerb,
2024-12-23,K0478,Neukunde Start,Anfrage Platform,
2024-12-29,K0243,Kunde verloren,Preis / Wettbewerb,
2025-01-01,ALLE,Preisrunde,+3.5 % Tariferhöhung Stückgut national,
2025-01-03,K0712,Neukunde Start,Empfehlung,
2025-01-18,K0563,Kunde verloren,Preis / Wettbewerb,
2025-01-23,K0566,Neukunde Start,Kaltakquise,
2025-01-24,K0354,Kunde verloren,Preis / Wettbewerb,
2025-01-25,K0305,Kunde verloren,Preis / Wettbewerb,
2025-01-28,K0048,Neukunde Start,Empfehlung,
2025-02-05,K0055,Neukunde Start,Empfehlung,
2025-02-06,K0405,Neukunde Start,Empfehlung,
2025-02-11,K0748,Neukunde Start,Anfrage Platform,
2025-02-23,K0117,Neukunde Start,Kaltakquise,
2025-02-25,K0615,Kunde verloren,Preis / Wettbewerb,
2025-03-02,K0636,Neukunde Start,Anfrage Platform,
2025-03-02,K0378,Kunde verloren,Insolvenz,
2025-03-02,K0458,Kunde verloren,Preis / Wettbewerb,
2025-03-07,K0210,Kunde verloren,Preis / Wettbewerb,
2025-03-10,K0734,Neukunde Start,Empfehlung,
2025-03-13,K0326,Neukunde Start,Anfrage Platform,
2025-03-14,K0104,Kunde verloren,Standortverlagerung,
2025-03-21,K0700,Neukunde Start,Anfrage Platform,
2025-03-22,K0196,Neukunde Start,Empfehlung,
2025-03-23,K0601,Kunde verloren,Preis / Wettbewerb,
2025-03-27,K0698,Neukunde Start,Empfehlung,
2025-03-28,K0093,Kunde verloren,Preis / Wettbewerb,
2025-04-07,K0361,Neukunde Start,Kaltakquise,
2025-04-07,K0351,Kunde verloren,Standortverlagerung,
2025-04-10,K0003,Ausschreibung verloren,Preis,"Übergang an Wettbewerber, Auslauf bis 30.06.2025"
2025-04-14,K0376,Neukunde Start,Ausschreibung gewonnen,
2025-04-23,K0488,Neukunde Start,Ausschreibung gewonnen,
2025-04-23,K0223,Kunde verloren,Volumen eingestellt,
2025-04-26,K0036,Neukunde Start,Ausschreibung gewonnen,
2025-04-28,K0720,Neukunde Start,Kaltakquise,
2025-04-29,K0682,Kunde verloren,Standortverlagerung,
2025-05-10,K0629,Kunde verloren,Preis / Wettbewerb,
2025-05-19,K0358,Neukunde Start,Anfrage Platform,
2025-05-20,K0151,Neukunde Start,Empfehlung,
2025-05-29,K0436,Kunde verloren,Volumen eingestellt,
2025-06-02,K0183,Neukunde Start,Kaltakquise,
2025-06-04,K0664,Kunde verloren,Insolvenz,
2025-06-04,K0602,Neukunde Start,Kaltakquise,
2025-06-08,K0524,Neukunde Start,Kaltakquise,
2025-06-08,K0171,Neukunde Start,Anfrage Platform,
2025-06-08,K0188,Neukunde Start,Empfehlung,
2025-06-11,K0654,Kunde verloren,Preis / Wettbewerb,
2025-06-18,K0057,Kunde verloren,Preis / Wettbewerb,
2025-06-26,K0536,Neukunde Start,Anfrage Platform,
2025-06-30,K0003,Kunde verloren,Ausschreibung verloren (Preis),
2025-07-08,K0368,Kunde verloren,Insolvenz,
2025-07-10,K0366,Neukunde Start,Anfrage Platform,
2025-07-17,K0148,Neukunde Start,Kaltakquise,
2025-07-19,K0233,Neukunde Start,Empfehlung,
2025-07-21,K0041,Neukunde Start,Kaltakquise,
2025-07-24,K0639,Neukunde Start,Empfehlung,
2025-07-31,K0757,Neukunde Start,Empfehlung,
2025-08-06,K0608,Neukunde Start,Empfehlung,
2025-08-06,K0656,Neukunde Start,Ausschreibung gewonnen,
2025-08-07,K0074,Kunde verloren,Volumen eingestellt,
2025-08-10,K0024,Kunde verloren,Preis / Wettbewerb,
